,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
748,388736458,2394958,20494,isolated,71287130,isolated,isolate,42
749,388736458,2394958,20494,slightly extended,71287130, slightly extended,slightly,10
750,388736458,2394958,20494,clear counterpart,71287130, clear counterpart,counterpart,43
751,388736794,2394958,20494,core lobe,71287136,core or lobe,lobe,36
752,388736794,2394958,20494,complex,71287136, complex,complex,4
753,388736794,2394958,20494,extended,71287136, extended,extend,1
754,388736794,2394958,20494,ambiguous counterpart,71287136, ambiguous counterpart,ambiguous,46
755,388736938,2394958,20494,bright,71287002,bright,bright,12
756,388736938,2394958,20494,complex,71287002, complex,complex,4
757,388736938,2394958,20494,extended,71287002, extended,extend,1
758,388736938,2394958,20494,possible association neighbour components,71287002, possible association with neighbour components,component,2
759,388736938,2394958,20494,counterpart,71287002, no counterpart,counterpart,43
760,388736985,2394958,20494,compact,71287153,compact,compact,0
761,388736985,2394958,20494,isolated,71287153, isolated,isolate,42
762,388736985,2394958,20494,counterpart,71287153, no counterpart,counterpart,43
763,388737098,2394958,20494,extended,71287027,extended,extend,1
764,388737098,2394958,20494,complex,71287027, complex,complex,4
765,388737098,2394958,20494,faint,71287027, faint,faint,3
766,388737098,2394958,20494,possible association neighbour component,71287027, possible association with neighbour component,component,2
767,388737098,2394958,20494,counterpart,71287027, no counterpart,counterpart,43
768,388737196,2394958,20494,bright,71287250,bright,bright,12
769,388737196,2394958,20494,extended,71287250, extended,extend,1
770,388737196,2394958,20494,possible jet,71287250, possible jet,jet,18
771,388737196,2394958,20494,counterpart,71287250, no counterpart,counterpart,43
772,388737242,2394958,20494,faint,71287036,faint,faint,3
773,388737242,2394958,20494,noisy,71287036, noisy,noisy,41
774,388737242,2394958,20494,slightly extended,71287036, slightly extended,slightly,10
775,388737242,2394958,20494,counterpart,71287036, no counterpart,counterpart,43
776,388737306,2394958,20494,isolated,71287040,isolated,isolate,42
777,388737306,2394958,20494,slightly extended,71287040, slightly extended,slightly,10
778,388737306,2394958,20494,counterpart,71287040, no counterpart,counterpart,43
779,388737381,2394958,20494,extended,71287111,extended,extend,1
780,388737381,2394958,20494,possible lobe,71287111, possible lobe,lobe,36
781,388737381,2394958,20494,possible association neighbour component,71287111, possible association with neighbour component,component,2
782,388737381,2394958,20494,counterpart,71287111, no counterpart,counterpart,43
783,388737484,2394958,20494,faint,71287038,faint,faint,3
784,388737484,2394958,20494,possible lobe,71287038, possible lobe,lobe,36
785,388737484,2394958,20494,possible association neighbour component,71287038, possible association with neighbour component,component,2
786,388737484,2394958,20494,counterpart,71287038, no counterpart,counterpart,43
787,388737692,2394958,20494,slightly extended,71287030,slightly extended,slightly,10
788,388737692,2394958,20494,possible lobe,71287030, possible lobe,lobe,36
789,388737692,2394958,20494,possible association neighbour component,71287030, possible association with neighbour component,component,2
790,388737692,2394958,20494,counterpart,71287030, no counterpart,counterpart,43
791,388737693,2394958,20494,bright,71287190,bright,bright,12
792,388737693,2394958,20494,extended,71287190, extended,extend,1
793,388737693,2394958,20494,possible association neighbour component,71287190, possible association with neighbour component,component,2
794,388737693,2394958,20494,counterpart,71287190, no counterpart,counterpart,43
795,388737736,2394958,20494,slightly extended,71287256,slightly extended,slightly,10
796,388737736,2394958,20494,isolated,71287256, isolated,isolate,42
797,388737736,2394958,20494,counterpart,71287256, no counterpart,counterpart,43
798,388737828,2394958,20494,isolated,71287165,isolated,isolate,42
799,388737828,2394958,20494,slightly extended,71287165, slightly extended,slightly,10
800,388737828,2394958,20494,ambiguous counterpart,71287165, ambiguous counterpart,ambiguous,46
801,388737828,2394958,20494,possible interacting pair,71287165, possible interacting galaxy pair,possible,47
802,388737952,2394958,20494,lobe,71287193,lobe,lobe,36
803,388737952,2394958,20494,extended,71287193, extended,extend,1
804,388737952,2394958,20494,complex,71287193, complex,complex,4
805,388737952,2394958,20494,lobe adjacent component,71287193, lobe of adjacent component,adjacent,48
806,388737952,2394958,20494,counterpart,71287193, no counterpart,counterpart,43
807,388738010,2394958,20494,isolated,71287294,isolated,isolate,42
808,388738010,2394958,20494,slightly extended,71287294, slightly extended,slightly,10
809,388738010,2394958,20494,clear counterpart,71287294, clear counterpart,counterpart,43
810,388738894,2394958,20494,extended,71287184,extended,extend,1
811,388738894,2394958,20494,complex,71287184, complex,complex,4
812,388738894,2394958,20494,possible jet,71287184, possible jet,jet,18
813,388738894,2394958,20494,association neighbour component,71287184, association with neighbour component,component,2
814,388738894,2394958,20494,counterpart,71287184, no counterpart,counterpart,43
815,388739222,2394958,20494,noise,71287166,noise,noise,49
816,388739222,2394958,20494,counterpart,71287166, no counterpart,counterpart,43
817,388739242,2394958,20494,isolated,71287108,isolated,isolate,42
818,388739242,2394958,20494,slightly extended,71287108, slightly extended,slightly,10
819,388739242,2394958,20494,clear counterpart,71287108, clear counterpart,counterpart,43
820,388750856,2394958,20494,isolated,71287235,isolated,isolate,42
821,388750856,2394958,20494,slightly extended,71287235, slightly extended,slightly,10
822,388750856,2394958,20494,clear counterpart,71287235, clear counterpart,counterpart,43
823,388750875,2394958,20494,complex,71287178,complex,complex,4
824,388750875,2394958,20494,extended,71287178, extended,extend,1
825,388750875,2394958,20494,counterpart,71287178, no counterpart,counterpart,43
826,388750955,2394958,20494,complex,71287032,complex,complex,4
827,388750955,2394958,20494,extended,71287032, extended,extend,1
828,388750955,2394958,20494,possible lobe,71287032, possible lobe,lobe,36
829,388750955,2394958,20494,possible association neighbour component,71287032, possible association with neighbour component,component,2
830,388750955,2394958,20494,ambiguous counterpart,71287032, ambiguous counterpart,ambiguous,46
831,388750994,2394958,20494,lobe,71287284,lobe,lobe,36
832,388750994,2394958,20494,double lobe system,71287284, double lobe system,lobe,36
833,388750994,2394958,20494,associated adjacent component,71287284, associated with adjacent component,component,2
834,388750994,2394958,20494,clear counterpart,71287284, clear counterpart,counterpart,43
835,388751040,2394958,20494,complex,71287154,complex,complex,4
836,388751040,2394958,20494,extended,71287154, extended,extend,1
837,388751040,2394958,20494,possible association adjacent component,71287154, possible association with adjacent component,component,2
838,388751040,2394958,20494,clear counterpart,71287154, clear counterpart,counterpart,43
839,388751053,2394958,20494,isolated,71287049,isolated,isolate,42
840,388751053,2394958,20494,compact,71287049, compact,compact,0
841,388751053,2394958,20494,clear counterpart,71287049, clear counterpart,counterpart,43
842,388751087,2394958,20494,extended,71287142,extended,extend,1
843,388751087,2394958,20494,complex,71287142, complex,complex,4
844,388751087,2394958,20494,possible jet,71287142, possible jet,jet,18
845,388751087,2394958,20494,possible association neighbour component,71287142, possible association with neighbour component,component,2
846,388751087,2394958,20494,counterpart,71287142, no counterpart,counterpart,43
847,388751123,2394958,20494,extended,71287006,extended,extend,1
848,388751123,2394958,20494,complex,71287006, complex,complex,4
849,388751123,2394958,20494,possible jet,71287006, possible jet,jet,18
850,388751123,2394958,20494,possible association adjacent component,71287006, possible association with adjacent component,component,2
851,388751123,2394958,20494,counterpart,71287006, no counterpart,counterpart,43
852,388751154,2394958,20494,isolated,71287117,isolated,isolate,42
853,388751154,2394958,20494,slightly extended,71287117, slightly extended,slightly,10
854,388751154,2394958,20494,faint counterpart,71287117, faint counterpart,faint,3
855,388751204,2394958,20494,compact,71287234,compact,compact,0
856,388751204,2394958,20494,possible association adjacent component,71287234, possible association with adjacent component,component,2
857,388751204,2394958,20494,counterpart,71287234, no counterpart,counterpart,43
858,388751262,2394958,20494,complex,71287170,complex,complex,4
859,388751262,2394958,20494,extended,71287170, extended,extend,1
860,388751262,2394958,20494,low surface brightness extended,71287170, low surface brightness extended emission,surface,50
861,388751262,2394958,20494,isolated,71287170, isolated,isolate,42
862,388751262,2394958,20494,counterpart,71287170, no counterpart,counterpart,43
863,388751276,2394958,20494,compact,71287094,compact,compact,0
864,388751276,2394958,20494,isolated,71287094, isolated,isolate,42
865,388751276,2394958,20494,clear counterpart,71287094, clear counterpart,counterpart,43
866,388751313,2394958,20494,jet lobe,71287254,jet or lobe,lobe,36
867,388751313,2394958,20494,associated adjacent component,71287254, associated with adjacent component,component,2
868,388751313,2394958,20494,counterpart,71287254, no counterpart,counterpart,43
869,388751333,2394958,20494,isolated,71287010,isolated,isolate,42
870,388751333,2394958,20494,slightly extended,71287010, slightly extended,slightly,10
871,388751333,2394958,20494,bright,71287010, bright,bright,12
872,388751333,2394958,20494,counterpart,71287010, no counterpart,counterpart,43
873,388751377,2394958,20494,lobe,71287104,lobe,lobe,36
874,388751377,2394958,20494,associated adjacent component,71287104, associated with adjacent component,component,2
875,388751377,2394958,20494,counterpart,71287104, no counterpart,counterpart,43
876,388751436,2394958,20494,bright,71286999,bright,bright,12
877,388751436,2394958,20494,complex,71286999, complex,complex,4
878,388751436,2394958,20494,extended,71286999, extended,extend,1
879,388751436,2394958,20494,large region,71286999, very large emission region,region,51
880,388751436,2394958,20494,counterpart,71286999, no counterpart,counterpart,43
881,388751484,2394958,20494,lobe double lobe system,71287004,lobe of double lobe system,lobe,36
882,388751484,2394958,20494,lobe,71287004, lobe,lobe,36
883,388751484,2394958,20494,extended,71287004, extended,extend,1
884,388751484,2394958,20494,associated adjacent component,71287004, associated with adjacent component,component,2
885,388751484,2394958,20494,ambiguous counterpart,71287004, ambiguous counterpart,ambiguous,46
886,388751529,2394958,20494,lobe double lobe system,71287271,lobe of double lobe system,lobe,36
887,388751529,2394958,20494,lobe,71287271, lobe,lobe,36
888,388751529,2394958,20494,associated adjacent component,71287271, associated with adjacent component,component,2
889,388751529,2394958,20494,ambiguous counterpart,71287271, ambiguous counterpart,ambiguous,46
890,388751584,2394958,20494,faint,71287260,faint,faint,3
891,388751584,2394958,20494,noisy,71287260, noisy,noisy,41
892,388751584,2394958,20494,slightly extended,71287260, slightly extended,slightly,10
893,388751584,2394958,20494,isolated,71287260, isolated,isolate,42
894,388751584,2394958,20494,faint counterpart,71287260, faint counterpart,faint,3
895,388751667,2394958,20494,extended,71287063,extended,extend,1
896,388751667,2394958,20494,possible association adjacent component,71287063, possible association with adjacent component,component,2
897,388751667,2394958,20494,clear counterpart,71287063, clear counterpart,counterpart,43
898,388751667,2394958,20494,possible interacting system,71287063, possible interacting system,possible,47
899,388751759,2394958,20494,extended,71287266,extended,extend,1
900,388751759,2394958,20494,complex,71287266, complex,complex,4
901,388751759,2394958,20494,clear counterpart,71287266, clear counterpart,counterpart,43
902,388751759,2394958,20494,large,71287266, large galaxy,large,52
903,388751759,2394958,20494,adjacent stellar (star quasar) possibly associated bright compact radio neighbour,71287266, adjacent stellar (star or quasar) source possibly associated with bright compact radio neighbour,one,53
904,388751791,2394958,20494,slightly extended,71287198,slightly extended,slightly,10
905,388751791,2394958,20494,isolated,71287198, isolated,isolate,42
906,388751791,2394958,20494,ambiguous counterpart,71287198, ambiguous counterpart,ambiguous,46
907,388751804,2394958,20494,slightly extended,71287158,slightly extended,slightly,10
908,388751804,2394958,20494,isolated,71287158, isolated,isolate,42
909,388751804,2394958,20494,clear counterpart,71287158, clear counterpart,counterpart,43
910,388751872,2394958,20494,bright,71287217,bright,bright,12
911,388751872,2394958,20494,probable lobe,71287217, probable lobe,lobe,36
912,388751872,2394958,20494,complex,71287217, complex,complex,4
913,388751872,2394958,20494,extended,71287217, extended,extend,1
914,388751872,2394958,20494,associated adjacent component,71287217, associated with adjacent component,component,2
915,388751872,2394958,20494,ambiguous counterpart,71287217, ambiguous counterpart,ambiguous,46
916,388751897,2394958,20494,isolated,71287222,isolated,isolate,42
917,388751897,2394958,20494,slightly extended,71287222, slightly extended,slightly,10
918,388751897,2394958,20494,counterpart,71287222, no counterpart,counterpart,43
919,388751914,2394958,20494,isolated,71287232,isolated,isolate,42
920,388751914,2394958,20494,slightly extended,71287232, slightly extended,slightly,10
921,388751914,2394958,20494,clear counterpart,71287232, clear counterpart,counterpart,43
922,388751935,2394958,20494,lobe double lobe system,71287015,lobe of double lobe system,lobe,36
923,388751935,2394958,20494,lobe,71287015, lobe,lobe,36
924,388751935,2394958,20494,associated adjacent component,71287015, associated with adjacent component,component,2
925,388751935,2394958,20494,counterpart,71287015, no counterpart,counterpart,43
926,388751981,2394958,20494,complex,71287216,complex,complex,4
927,388751981,2394958,20494,extended,71287216, extended,extend,1
928,388751981,2394958,20494,lobe,71287216, lobe,lobe,36
929,388751981,2394958,20494,probable lobe double lobe system,71287216, probable lobe of double lobe system,lobe,36
930,388751981,2394958,20494,ambiguous counterpart,71287216, ambiguous counterpart,ambiguous,46
931,388752004,2394958,20494,complex,71287078,complex,complex,4
932,388752004,2394958,20494,extended,71287078, extended,extend,1
933,388752004,2394958,20494,clear counterpart,71287078, clear counterpart,counterpart,43
934,388752004,2394958,20494,large irregular,71287078, large irregular galaxy,irregular,5
935,388752015,2394958,20494,extended,71287204,extended,extend,1
936,388752015,2394958,20494,isolated,71287204, isolated,isolate,42
937,388752015,2394958,20494,clear counterpart,71287204, clear counterpart,counterpart,43
938,388752026,2394958,20494,complex,71287151,complex,complex,4
939,388752026,2394958,20494,isolated,71287151, isolated,isolate,42
940,388752026,2394958,20494,clear counterpart,71287151, clear counterpart,counterpart,43
941,388752032,2394958,20494,compact,71287065,compact,compact,0
942,388752032,2394958,20494,isolated,71287065, isolated,isolate,42
943,388752032,2394958,20494,counterpart,71287065, no counterpart,counterpart,43
944,388752047,2394958,20494,lobe,71287073,lobe,lobe,36
945,388752047,2394958,20494,lobe double lobe system,71287073, lobe of double lobe system,lobe,36
946,388752047,2394958,20494,associated adjacent component,71287073, associated with adjacent component,component,2
947,388752047,2394958,20494,counterpart,71287073, no counterpart,counterpart,43
948,388752053,2394958,20494,compact,71287127,compact,compact,0
949,388752053,2394958,20494,isolated,71287127, isolated,isolate,42
950,388752053,2394958,20494,counterpart,71287127, no counterpart,counterpart,43
951,388752068,2394958,20494,faint,71287205,faint,faint,3
952,388752068,2394958,20494,noisy,71287205, noisy,noisy,41
953,388752068,2394958,20494,isolated,71287205, isolated,isolate,42
954,388752068,2394958,20494,slightly extended,71287205, slightly extended,slightly,10
955,388752068,2394958,20494,counterpart,71287205, no counterpart,counterpart,43
956,388752086,2394958,20494,extended,71287074,extended,extend,1
957,388752086,2394958,20494,isolated,71287074, isolated,isolate,42
958,388752086,2394958,20494,clear counterpart,71287074, clear counterpart,counterpart,43
959,388752108,2394958,20494,extended,71287144,extended,extend,1
960,388752108,2394958,20494,complex,71287144, complex,complex,4
961,388752108,2394958,20494,possible association adjacent component,71287144, possible association with adjacent component,component,2
962,388752108,2394958,20494,counterpart,71287144, no counterpart,counterpart,43
963,388752156,2394958,20494,faint,71287177,faint,faint,3
964,388752156,2394958,20494,noisy,71287177, noisy,noisy,41
965,388752156,2394958,20494,probable association adjacent component,71287177, probable association with adjacent component,component,2
966,388752156,2394958,20494,ambiguous counterpart,71287177, ambiguous counterpart,ambiguous,46
967,388752182,2394958,20494,compact,71287245,compact,compact,0
968,388752182,2394958,20494,isolated,71287245, isolated,isolate,42
969,388752182,2394958,20494,faint counterpart,71287245, faint counterpart,faint,3
970,389313492,2395292,20494,extended,71287054,extended,extend,1
971,389313492,2395292,20494,blob,71287054, blob,blob,15
972,389313492,2395292,20494,diffuse,71287054, diffuse,diffuse,20
973,389313492,2395292,20494,asymmetrical,71287054, asymmetrical ,asymmetric,54
974,389313634,2395292,20494,compact,71287273,compact,compact,0
975,389313634,2395292,20494,slightly extended,71287273, slightly extended,slightly,10
976,389313699,2395292,20494,multiple sources,71287163,multiple sources,source,55
977,389313699,2395292,20494,extended,71287163, extended,extend,1
978,389313747,2395292,20494,spiral,71287264,spiral galaxy,spiral,44
979,389313791,2395292,20494,double,71287169,double source,double,35
980,389313791,2395292,20494,extended,71287169, extended,extend,1
981,389313791,2395292,20494,unclear host,71287169, unclear host,host,56
982,389313864,2395292,20494,extended,71287198,extended source,extend,1
983,389313864,2395292,20494,asymmetrical,71287198, asymmetrical,asymmetric,54
984,389313864,2395292,20494,unclear host,71287198, unclear host,host,56
985,389315521,2395292,20494,double,71287013,double source,double,35
986,389315521,2395292,20494,unclear host,71287013, unclear host,host,56
987,389315521,2395292,20494,asymmetric,71287013, asymmetric,asymmetric,54
988,389315572,2395292,20494,extended,71287053,extended source,extend,1
989,389315572,2395292,20494,diffuse emmission,71287053, diffuse emmission ,emmission,57
990,389315697,2395292,20494,extended,71287147,extended source,extend,1
991,389315697,2395292,20494,obvious host,71287147, obvious host,host,56
992,389315737,2395292,20494,extended,71287275,extended source,extend,1
993,389315737,2395292,20494,diffuse,71287275, diffuse emission,diffuse,20
994,389315737,2395292,20494,irregular,71287275, irregular ,irregular,5
995,390377429,2395292,20494,double,71287156,double source,double,35
996,390377429,2395292,20494,extended,71287156, extended,extend,1
997,390377845,2395292,20494,extended,71287133,extended source,extend,1
998,390377845,2395292,20494,diffuse,71287133, diffuse,diffuse,20
999,390378059,2395292,20494,blobby,71287278,blobby,blobby,27
1000,390378059,2395292,20494,extended,71287278, extended,extend,1
1001,390378104,2395292,20494,blobby,71287170,blobby,blobby,27
1002,390378104,2395292,20494,diffuse,71287170, diffuse,diffuse,20
1003,390378394,2395292,20494,blobby,71287098,blobby,blobby,27
1004,390378394,2395292,20494,diffuse,71287098, diffuse,diffuse,20
1005,390378440,2395292,20494,compact,71287172,compact,compact,0
1006,390378440,2395292,20494,faint,71287172, faint,faint,3
1007,390378568,2395292,20494,lobes,71287271,two lobes,lobe,36
1008,390378568,2395292,20494,core,71287271, core,core,6
1009,390378568,2395292,20494,hotspots,71287271, hotspots,hotspot,58
1010,390379042,2395292,20494,double,71287257,double source,double,35
1011,390379042,2395292,20494,slightly extended,71287257, slightly extended,slightly,10
1012,390379083,2395292,20494,faint,71287291,faint,faint,3
1013,390379083,2395292,20494,diffuse,71287291, diffuse,diffuse,20
1014,390379083,2395292,20494,elongated,71287291, elongated,elongate,7
1015,390379111,2395292,20494,faint,71287150,faint,faint,3
1016,390379111,2395292,20494,compact,71287150, compact,compact,0
1017,390379828,2395292,20494,double,71287107,double source,double,35
1018,390379828,2395292,20494,compact,71287107, compact,compact,0
1019,390379941,2395292,20494,bright,71287124,bright,bright,12
1020,390379941,2395292,20494,blob,71287124, blob,blob,15
1021,390380037,2395292,20494,triple,71287227,triple source,double,35
1022,390380037,2395292,20494,bright,71287227, bright,bright,12
1023,390380366,2395292,20494,edge,71287110,edge,edge,59
1024,390380366,2395292,20494,extended,71287110, extended,extend,1
1025,390380366,2395292,20494,diffuse,71287110, diffuse,diffuse,20
1026,390794997,2395292,20494,extended,71287131,extended,extend,1
1027,390794997,2395292,20494,irregular,71287131, irregular,irregular,5
1028,390794997,2395292,20494,triple,71287131, triple source,double,35
1029,390795383,2395292,20494,faint,71287062,faint,faint,3
1030,390795383,2395292,20494,triple,71287062, triple source,double,35
1031,390795463,2395292,20494,irregular,71287167,irregular,irregular,5
1032,390795544,2395292,20494,blobby,71287231,blobby,blobby,27
1033,390795544,2395292,20494,compact,71287231, compact,compact,0
1034,390795544,2395292,20494,spiral,71287231, spiral galaxy,spiral,44
1035,390796008,2395292,20494,faint,71287243,faint,faint,3
1036,390796008,2395292,20494,small,71287243, small,small,60
1037,390796008,2395292,20494,irregular,71287243, irregular,irregular,5
1038,390807577,2395292,20494,faint,71287085,faint,faint,3
1039,390807577,2395292,20494,v shape,71287085, v shape,v,16
1040,390808632,2395292,20494,blob,71287031,blob,blob,15
1041,390808632,2395292,20494,slightly asymmetric,71287031, slightly asymmetric,asymmetric,54
1043,390808812,2395292,20494,unusual host,71287063,unusual host,host,56
1044,390808812,2395292,20494,edge galaxy?,71287063, edge-on galaxy?,galaxy,61
1045,390808812,2395292,20494,double,71287063, double source,double,35
1046,390808892,2395292,20494,edge image,71287196,edge of image,image,62
1047,390808995,2395292,20494,spiral,71287272,spiral galaxy,spiral,44
1049,390809835,2395292,20494,small,71287260,small,small,60
1050,390809835,2395292,20494,faint,71287260, faint,faint,3
1052,390810598,2395292,20494,double,71287241,double source,double,35
1053,390810598,2395292,20494,radio,71287241, radio galaxy,radio,63
1054,390810598,2395292,20494,unclear host,71287241, unclear host,host,56
1055,390811162,2395292,20494,blob,71287052,blob,blob,15
1056,390811162,2395292,20494,extended,71287052, extended emission,extend,1
1057,390811162,2395292,20494,diffuse,71287052, diffuse,diffuse,20
1058,390811487,2395292,20494,double,71287004,double source,double,35
1059,390811487,2395292,20494,asymmetric brightness,71287004, asymmetric brightness,brightness,64
1060,390811896,2395292,20494,bright,71287276,bright,bright,12
1061,390811896,2395292,20494,asymmetric,71287276, asymmetric,asymmetric,54
1062,390811896,2395292,20494,multiple peaks,71287276, multiple peaks,peak,65
1063,390811986,2395292,20494,faint,71287284,faint,faint,3
1064,390811986,2395292,20494,diffuse,71287284, diffuse,diffuse,20
1065,390811986,2395292,20494,long,71287284, long,long,66
1066,390812280,2395292,20494,diffuse,71287178,diffuse,diffuse,20
1067,390812280,2395292,20494,extended,71287178, extended,extend,1
1068,390812280,2395292,20494,tailed,71287178, tailed,tail,8
1069,390813207,2395292,20494,small,71287040,small,small,60
1070,390813207,2395292,20494,slightly bent,71287040, slightly bent,bent,34
1071,390814047,2395292,20494,large,71287258,large,large,52
1072,390814047,2395292,20494,faint,71287258, faint,faint,3
1073,390814047,2395292,20494,diffuse,71287258, diffuse,diffuse,20
1074,390815283,2395292,20494,small,71287148,small,small,60
1075,390815283,2395292,20494,asymmetrical,71287148, asymmetrical ,asymmetric,54
1076,390815347,2395292,20494,small,71287103,small,small,60
1077,390815347,2395292,20494,faint,71287103, faint,faint,3
1078,390815347,2395292,20494,blobby,71287103, blobby,blobby,27
1079,390815405,2395292,20494,faint,71287192,faint,faint,3
1080,390815405,2395292,20494,long,71287192, long,long,66
1081,390815461,2395292,20494,small,71287210,small,small,60
1082,390815461,2395292,20494,faint,71287210, faint,faint,3
1083,390815891,2395292,20494,bright,71287007,bright,bright,12
1084,390815891,2395292,20494,oval,71287007, oval,oval,67
1085,390816015,2395292,20494,artefact,71287042,artefact,artefact,68
1087,390816083,2395292,20494,faint,71287132,faint,faint,3
1088,390816083,2395292,20494,diffuse,71287132, diffuse,diffuse,20
1089,390816083,2395292,20494,extended,71287132, extended,extend,1
1090,390816298,2395292,20494,faint,71287135,faint,faint,3
1091,390816298,2395292,20494,diffuse,71287135, diffuse,diffuse,20
1092,390816365,2395292,20494,small,71287018,small,small,60
1093,390816365,2395292,20494,faint,71287018, faint,faint,3
1094,390816365,2395292,20494,compact,71287018, compact,compact,0
1095,390816593,2395292,20494,bright,71287279,bright,bright,12
1096,390816593,2395292,20494,radio,71287279, radio galaxy,radio,63
1097,390816593,2395292,20494,core lobes,71287279, core and lobes,lobes,69
1098,390816630,2395292,20494,faint,71287097,faint,faint,3
1099,390816630,2395292,20494,small,71287097, small,small,60
1100,390816740,2395292,20494,extended,71286999,extended,extend,1
1101,390816740,2395292,20494,diffuse,71286999, diffuse,diffuse,20
1102,390816867,2395292,20494,radio,71287093,radio galaxy,radio,63
1103,390816867,2395292,20494,edge image,71287093, edge of image,image,62
1104,390816867,2395292,20494,bright core,71287093, bright core,bright,12
1105,390816945,2395292,20494,extended,71287230,extended,extend,1
1106,390816945,2395292,20494,asymmetrical,71287230, asymmetrical ,asymmetric,54
1107,390816989,2395292,20494,faint extended,71287253,faint extended emission ,faint,3
1108,390817011,2395292,20494,small,71287030,small,small,60
1109,390817011,2395292,20494,faint,71287030, faint,faint,3
1110,390817376,2395292,20494,bright,71287138,bright,bright,12
1111,390817376,2395292,20494,long,71287138, long,long,66
1112,390817376,2395292,20494,jet,71287138, jet,jet,18
1113,390817408,2395292,20494,faint,71287155,faint,faint,3
1114,390817408,2395292,20494,small,71287155, small,small,60
1115,390817610,2395292,20494,blob,71287281,blob,blob,15
1116,390817610,2395292,20494,long,71287281, long emission ,long,66
1117,390818130,2395292,20494,nearby sources,71287145,nearby sources,nearby,70
1118,390818130,2395292,20494,small,71287145, small,small,60
1119,390818130,2395292,20494,compact,71287145, compact,compact,0
1120,390818270,2395292,20494,diffuse,71287288,diffuse,diffuse,20
1121,390818270,2395292,20494,asymmetrical,71287288, asymmetrical,asymmetric,54
1122,390818270,2395292,20494,edge spiral jets?,71287288, edge on spiral with jets?,spiral,44
1123,390818361,2395292,20494,blobby,71287235,blobby,blobby,27
1124,390818361,2395292,20494,spiral,71287235,spiral,spiral,44
1125,390818361,2395292,20494,cluster,71287235, cluster,cluster,71
1126,390818940,2395292,20494,asymmetric,71287005,asymmetric,asymmetric,54
1127,390818981,2395292,20494,small,71287177,small,small,60
1128,390818981,2395292,20494,diffuse,71287177, diffuse,diffuse,20
1129,390818981,2395292,20494,c shaped,71287177, c-shaped,c,72
1130,390819072,2395292,20494,long bent,71287143,long and bent,bent,34
1131,390819072,2395292,20494,bright,71287143, bright,bright,12
1132,390819072,2395292,20494,multiple peaks,71287143, multiple peaks ,peak,65
1133,390819134,2395292,20494,extended,71287269,extended,extend,1
1134,390819134,2395292,20494,bright spot,71287269, bright spot,bright,12
1135,390819134,2395292,20494,diffuse,71287269, diffuse,diffuse,20
1136,390819170,2395292,20494,long,71287100,long,long,66
1137,390819353,2395292,20494,bright central region,71287020,bright central region,region,51
1138,390819353,2395292,20494,larger object,71287020, part of larger object,object,73
1139,390819396,2395292,20494,small,71287068,small,small,60
1140,390819396,2395292,20494,diffuse,71287068, diffuse,diffuse,20
1141,390819437,2395292,20494,small,71287245,small,small,60
1142,390819437,2395292,20494,faint,71287245, faint,faint,3
1143,390819592,2395292,20494,bright,71287248,bright,bright,12
1144,390819592,2395292,20494,double,71287248, double source,double,35
1145,390819689,2395292,20494,double,71287203,double source,double,35
1146,390819689,2395292,20494,bright,71287203, bright,bright,12
1147,390819775,2395292,20494,large,71287255,large,large,52
1148,390819775,2395292,20494,round,71287255, round,round,74
1149,390819775,2395292,20494,bright,71287255, bright,bright,12
1150,390819932,2395292,20494,long,71287186,long,long,66
1151,390819932,2395292,20494,extended,71287186, extended,extend,1
1152,390819932,2395292,20494,diffuse,71287186, diffuse,diffuse,20
1153,390820112,2395292,20494,small,71287071,small,small,60
1154,390820112,2395292,20494,blobby,71287071, blobby,blobby,27
1155,390820112,2395292,20494,extension,71287071, extension ,extension,25
1156,390820202,2395292,20494,spiral,71287181,spiral galaxy,spiral,44
1157,390820202,2395292,20494,diffuse,71287181, diffuse,diffuse,20
1158,390834605,2395292,20494,extended,71287058,extended,extend,1
1159,390834605,2395292,20494,bright,71287058, bright,bright,12
1160,390834605,2395292,20494,multiple peaks,71287058, multiple peaks,peak,65
1161,390834605,2395292,20494,possibly superimposed galaxies,71287058, possibly two superimposed galaxies,galaxy,61
1162,390834669,2395292,20494,faint,71287137,faint,faint,3
1163,390834669,2395292,20494,diffuse,71287137, diffuse,diffuse,20
1164,390834969,2395292,20494,bright,71287268,bright,bright,12
1165,390834969,2395292,20494,multiple components,71287268, multiple components,component,2
1166,390835033,2395292,20494,faint,71287014,faint,faint,3
1167,390835033,2395292,20494,small,71287014, small,small,60
1168,390835033,2395292,20494,v shaped,71287014, v-shaped,v,16
1169,390835105,2395292,20494,long,71287006,long,long,66
1170,390835105,2395292,20494,faint,71287006, faint,faint,3
1171,390835105,2395292,20494,diffuse,71287006, diffuse,diffuse,20
1172,390835138,2395292,20494,small,71287229,small,small,60
1173,390835138,2395292,20494,faint,71287229, faint,faint,3
1174,390835172,2395292,20494,small,71287160,small,small,60
1175,390835172,2395292,20494,faint,71287160, faint,faint,3
1176,390835362,2395292,20494,large,71287118,large,large,52
1177,390835362,2395292,20494,bright,71287118, bright,bright,12
1178,390835455,2395292,20494,long,71287191,long,long,66
1179,390835455,2395292,20494,diffuse,71287191, diffuse,diffuse,20
1180,390835455,2395292,20494,bent,71287191, bent,bent,34
1181,390835455,2395292,20494,c shape,71287191, c-shape,c,72
