,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
106,389081200,2410044,20494,diffuse,71287269,diffuse,diffuse,20
107,389081200,2410044,20494,extended,71287269, extended ,extend,1
108,389081518,2410044,20494,component,71287234,two-component,component,2
109,389082855,2410044,20494,compact core,71287250,compact core,compact,0
110,389082855,2410044,20494,extended,71287250, extended towards north,extend,1
111,389083044,2410044,20494,compact core,71287167,compact core,compact,0
112,389083044,2410044,20494,jets,71287167, two jets,jet,18
113,389083176,2410044,20494,component,71287276,three-component,component,2
114,389083176,2410044,20494,elongated,71287276, elongated,elongate,7
115,389083334,2410044,20494,component,71287290,two-component,component,2
116,389083334,2410044,20494,elongated structure,71287290, elongated structure west,elongate,7
117,389083415,2410044,20494,marginal detection,71287099,marginal detection,detection,9
118,389291640,2410044,20494,double component,71287257,double-component,component,2
119,389291640,2410044,20494,elongated,71287257, elongated,elongate,7
120,389291656,2410044,20494,compact,71287120,compact,compact,0
121,389291656,2410044,20494,roundish,71287120, roundish,roundish,19
122,389291732,2410044,20494,core,71287014,core,core,6
123,389291732,2410044,20494,extensions,71287014, two extensions,extension,25
124,389291755,2410044,20494,diffuse,71287214,diffuse,diffuse,20
125,389291755,2410044,20494,blobby,71287214, blobby,blobby,27
126,389291794,2410044,20494,compact,71287141,compact,compact,0
127,389291794,2410044,20494,strong core,71287141, strong core,core,6
128,389291794,2410044,20494,extension,71287141, extension to the west,extension,25
129,389291831,2410044,20494,compact core,71287096,compact core,compact,0
130,389291831,2410044,20494,extension,71287096, extension to the west,extension,25
131,389298218,2410044,20494,diffuse,71287249,diffuse,diffuse,20
132,389298218,2410044,20494,triangular shape,71287249, triangular shape,shape,11
133,389298253,2410044,20494,compact,71287128,compact,compact,0
134,389298253,2410044,20494,roundish,71287128, roundish,roundish,19
135,389298299,2410044,20494,component,71287280,two-component,component,2
136,389298299,2410044,20494,s shaped,71287280, s-shaped,shape,11
137,389341921,2410044,20494,compact core,71287013,compact core,compact,0
138,389341921,2410044,20494,extended southwest,71287013, extended towards southwest,southeast,28
139,389342026,2410044,20494,core,71287118,core,core,6
140,389342026,2410044,20494,jets,71287118, two jets,jet,18
141,389342026,2410044,20494,symmetrical,71287118, symmetrical,symmetrical,29
142,389342063,2410044,20494,compact,71287018,compact,compact,0
143,389342063,2410044,20494,marginal detection,71287018, marginal detection,detection,9
144,389342108,2410044,20494,diffuse,71287052,diffuse,diffuse,20
145,389342108,2410044,20494,extended,71287052, extended,extend,1
146,389342108,2410044,20494,blobby,71287052, blobby,blobby,27
147,389609721,2410044,20494,compact,71287235,compact,compact,0
148,389609721,2410044,20494,counterpart extended,71287235, counterpart extended,extend,1
149,389609868,2410044,20494,face disk,71287089,face-on disk,disk,22
150,389609868,2410044,20494,patchy,71287089, patchy emission,patchy,30
151,389609931,2410044,20494,compact,71287036,compact,compact,0
152,389609931,2410044,20494,roundish,71287036, roundish,roundish,19
153,389610026,2410044,20494,component,71287295,two-component,component,2
154,389610026,2410044,20494,elongated,71287295, elongated,elongate,7
155,389610121,2410044,20494,compact,71287159,compact,compact,0
156,389610121,2410044,20494,roundish,71287159, roundish,roundish,19
157,389610121,2410044,20494,extended counterpart,71287159, extended counterpart,extend,1
158,389610237,2410044,20494,core visible,71287271,core visible,core,6
159,389610237,2410044,20494,components,71287271,components,component,2
160,389610292,2410044,20494,elongated,71287109,elongated,elongate,7
