,classification_id,user_id,workflow_id,annotations,subject_ids
101,389627542,2410044,20494,"compact, slightly elongated",71287148
102,389627704,2410044,20494,"elongated, boxy",71287261
103,389627740,2410044,20494,"compact, extended counterpart",71287116
104,390083375,2003327,20494,"extended, elongated, bent",71287143
105,390083553,2003327,20494,"double, compact",71287221
106,390083641,2003327,20494,diffuse,71287115
107,390084035,2003327,20494,"compact, elongated",71287285
108,390084371,2003327,20494,"compact, diffuse",71287005
109,390084524,2003327,20494,"double lobe, compact",71287242
110,390084645,2003327,20494,faint,71287069
111,390084725,2003327,20494,"compact, single",71287086
112,390084812,2003327,20494,"extended, triple, three lobe",71287225
113,390084884,2003327,20494,"extended, single, compact, diffuse",71287106
114,390085028,2003327,20494,"single, elongated",71287035
115,390085090,2003327,20494,"double, two lobe, extended",71287104
116,390085337,2003327,20494,"extended, two lobe, faint",71287200
117,390085382,2003327,20494,"extended, two lobe, double, elongated",71287004
118,390085432,2003327,20494,"single, elongated",71287275
119,390085544,2003327,20494,"extended, two lobe, double, faint",71287037
120,390085625,2003327,20494,"single, extended",71287174
121,390085743,2003327,20494,"triple, three lobe, extended, faint",71287065
122,390085791,2003327,20494,"single, compact",71287007
123,390085972,2003327,20494,"double, two lobe, extended, faint",71287063
124,390086023,2003327,20494,"single, compact",71287024
125,390086145,2003327,20494,"triple, three lobe, extended, elongated, bent",71287193
126,390086213,2003327,20494,"triple, three lobe, extended, faint",71287209
127,390086297,2003327,20494,"faint, single, elongated",71287119
128,390086383,2003327,20494,"single, elongated",71287249
129,390086744,2003327,20494,"two lobe, double, faint",71287087
130,390086782,2003327,20494,"single, compact",71287273
131,390086906,2003327,20494,"single, extended, diffuse",71287178
132,390087190,2003327,20494,"double, two lobe, extended, elongated",71287081
133,390087231,2003327,20494,"extended, elongated, diffuse",71287133
134,390087314,2003327,20494,"single, extended, elongated",71287231
135,390087369,2003327,20494,"single, elongated, bent",71287256
136,390087400,2003327,20494,"single, compact",71287148
137,390087491,2003327,20494,"single, elongated",71287255
138,390087532,2003327,20494,"single, elongated",71287206
139,390087571,2003327,20494,"single, faint, amorphous",71287057
140,390087703,2003327,20494,faint,71287140
141,390087941,2003327,20494,"single, elongated",71287079
142,390088069,2003327,20494,"single, extended, bent",71287041
143,390088537,2003327,20494,"single, elongated",71287296
144,390088717,2003327,20494,"double, two lobe, extended, diffuse",71287268
145,390088757,2003327,20494,"single, elongated, faint",71287182
146,390088795,2003327,20494,"single, elongated, diffuse",71287204
147,390088825,2003327,20494,"single, faint",71287180
