,shap_weighted_ranking,shap_mean_ranking,importance_weighted_ranking,importance_mean_ranking,annotations,count,importance_1-sided,importance_Bent tail,importance_C-shaped,importance_Classical double,importance_Compact Symmetric Object (CSO),importance_Core-dominant,importance_Core-jet,importance_Diffuse,importance_Double,importance_Double-double (DDRG),importance_Fanaroff and Riley Class 0 (FR 0),importance_Fanaroff and Riley Class 1 (FR I),importance_Fanaroff and Riley Class 2 (FR II),importance_Hybrid,importance_Narrow-angle tail (NAT),importance_Odd Radio Circle (ORC),importance_S-shaped,importance_Single,importance_Star Forming Galaxy (SFG),importance_Triple,importance_Wide-angle tail (WAT),importance_X-shaped,importance_mean,importance_weighted,shap_1-sided,shap_Bent tail,shap_C-shaped,shap_Classical double,shap_Compact Symmetric Object (CSO),shap_Core-dominant,shap_Core-jet,shap_Diffuse,shap_Double,shap_Double-double (DDRG),shap_Fanaroff and Riley Class 0 (FR 0),shap_Fanaroff and Riley Class 1 (FR I),shap_Fanaroff and Riley Class 2 (FR II),shap_Hybrid,shap_Narrow-angle tail (NAT),shap_Odd Radio Circle (ORC),shap_S-shaped,shap_Single,shap_Star Forming Galaxy (SFG),shap_Triple,shap_Wide-angle tail (WAT),shap_X-shaped,shap_mean,shap_weighted
16,16,15,10,9,diffuse,79,0.0114220931488602,0.0150023550681987,0.0200372263420658,0.0163660594283443,0.0,0.0419745256682873,0.0184561429443678,0.0437251215362022,0.0155248556056382,0.0,0.0,0.0240920461717963,0.0168296137792132,0.0,0.0106679000194025,0.0,0.0224890493730495,0.0,0.0061749699540754,0.0275410591354124,0.0150262458914597,0.014798385868026,0.3201276499344005,29.187078271726428,0.865684999578227,0.7113354048335159,0.2987269511620348,0.6921202902043876,0.0,1.5663398318801125,0.712447875497447,3.774054232497208,1.3691179068785104,0.0,0.0,1.9239702753451613,0.6389495581589996,0.0,0.4039616316393531,0.0,0.5761100787637357,0.0,2.3004432539825825,1.9298204883453327,0.6593745615713998,0.3679867287567356,18.790444069094747,2190.3798314866394
17,17,16,19,13,peak,43,0.0073703766787636,0.0531985643937001,0.0360801197266374,0.0041438704587267,0.0,0.0176696664552952,0.0042905707567189,0.0031804241005719,0.0194253729249178,0.0,0.0,0.0157446884809322,0.0162693680775425,0.0,0.0157647166607624,0.0,0.0245131791977123,0.0,0.0079959951604468,0.0167820217919355,0.0286247384514538,0.0008843959592781,0.2719380692753958,21.664170262154716,0.4946668815147588,2.9280875028634745,0.8903050485487742,0.4010142074001647,0.0,0.4885130483980578,0.5204501901843528,0.4201351365189542,3.8423269967693,0.0,0.0,0.7557908564491469,1.358483748317726,0.0,0.2852357662120751,0.0,0.7015720740504642,0.0,1.0291596353088632,0.9218886615824188,2.260850133226488,0.0652409254905732,17.363720812835595,1865.2799771731995
18,18,25,30,41,bridge,11,0.0184829733323899,0.0005879566552924,0.0019326101988923,0.045615959006722,0.0,0.0008780347130542,0.0011086243579311,0.0018188662791983,0.0404899429430143,0.0,0.0,0.0012217290493812,0.0113889534294028,0.0,0.0003164877681968,0.0,0.0007545007397116,0.0,0.0001881156381789,0.011189927104823,0.0008771597557956,0.0002681085766609,0.1371199495486461,16.210235594142237,0.7013184307663886,0.0233506133629277,0.0180737947299011,2.316885947033843,0.0,0.0345946936589456,0.0623333118637234,0.1327522178925334,6.944416570324714,0.0,0.0,0.12279949685493,0.5509446434217596,0.0,0.0132696778508799,0.0,0.0294689648547955,0.0,0.1126569214445641,0.6892107857465377,0.0782986484234423,0.0096420135272465,11.840016731757132,1807.23898482989
19,19,17,15,10,radio,80,0.0106157906284087,0.0157838314074452,0.0027760350445172,0.015155298365534,0.0,0.0295798278404284,0.0169500608404033,0.0156465841376874,0.0183217883301871,0.0,0.0,0.0249424378320621,0.0164064634531246,0.0,0.0131913107629115,0.0,0.0260520688601606,0.0,0.0084720575913262,0.0242726475671828,0.0179958594757143,0.0385840577648766,0.2947461199019706,23.928098347571243,0.769386530843116,0.4268694536322019,0.1709289249933123,0.5309954586614363,0.0,1.7028088036105635,0.5329109420879748,0.7012286537892085,1.4193320098725186,0.0,0.0,3.2623112040412816,0.613215360170033,0.0,0.4434253103986058,0.0,0.9571745382310026,0.0,1.738343073200495,1.7684001796379254,1.2407135004587722,0.9345877962022368,17.212631739830684,1704.5026372224706
20,20,19,17,11,tail,48,0.0236898925047478,0.0261072576218085,0.0093115758519969,0.0147645128456724,0.0,0.0099274666958767,0.0069476447439736,0.0381363970083004,0.0083990206532833,0.0,0.0,0.0112158409421635,0.0139725362108375,0.0,0.0608860614577123,0.0,0.0285697399658441,0.0,0.0054906027507058,0.0059554816708896,0.0073637685407801,0.0227628709781495,0.2935006704427428,22.92273036453315,0.9119006405180788,1.088459975455564,0.1574874196318519,0.7986914548221183,0.0,0.5967980582003681,0.5841770009166232,1.8387351947916184,1.669176354758941,0.0,0.0,0.4625741049032483,0.7679195027154233,0.0,1.4598759488812876,0.0,1.3666844281441413,0.0,1.8234771546942128,0.7619338229931896,0.6835580983340531,0.4550846814344575,15.42653384119518,1619.4785433060342
21,21,22,6,3,host,267,0.0279079798127895,0.0217815738440626,0.0217177118318707,0.021102939473747,0.0,0.0351195286574069,0.0230220334740176,0.0226055864689668,0.0203908974974688,0.0,0.0,0.0219599537447265,0.0178966550299543,0.0,0.0380200229094818,0.0,0.0357911859071279,0.0,0.0098055414351567,0.0241865312500369,0.0279300350132298,0.0228962211296473,0.3921343974796917,31.373474367762363,0.8800187624606113,0.5058799752739364,0.2451279496636665,0.6469019777098427,0.0,0.7666386040341545,0.750047813861103,0.863897097276769,1.9240759540527288,0.0,0.0,0.978180975012391,0.962121277432356,0.0,0.6594745454409446,0.0,0.9912096727924996,0.0,1.7348523048953066,0.8943104730291767,0.7635502354725688,0.3379985605670288,13.904286178975086,1512.5686880610103
22,22,35,55,81,overlap,9,0.0001189377390307,0.0001801313029987,0.001520922957002,0.001104371892254,0.0,0.0002990568281475,0.0002813897401371,2.6700531909343528e-05,0.0005116545183483,0.0,0.0,0.0003924238238432,0.0003817710384874,0.0,0.0007045951550938,0.0,0.0010466538571161,0.0,0.0464363716418034,0.0002416686052162,0.0005238127229102,1.2011120102362495e-06,0.0537716634663089,8.974671915031331,0.00822203441455,0.0090879714400893,0.0111237910877245,0.0364538953737199,0.0,0.0173351737169754,0.020146369378897,0.0097028718618966,0.1188490768728573,0.0,0.0,0.0438998726793689,0.0308329529139846,0.0,0.0159152590353483,0.0,0.0209201853688455,0.0,7.775822611085805,0.0280626104300899,0.0435078657814075,0.0005663707951561,8.190448912236716,1461.2948976913058
23,23,20,23,27,faint,97,0.0219830442068697,0.0096133672827677,0.006838515271887,0.0219025671483123,0.0,0.0103033697164203,0.0173504050462641,0.0214136639928122,0.0147643654307944,0.0,0.0,0.0107939967949169,0.0165072913567929,0.0,0.0051722109204121,0.0,0.0162781052343421,0.0,0.0069199462242283,0.0077616880630448,0.0125059636812568,0.0058508865662934,0.2059593869374158,19.60653363690201,0.5632082927995229,0.959594237260511,0.3225234445818737,1.0884295297314774,0.0,1.1403776201155775,0.8615781050875553,0.5638331248208526,1.5798623057112184,0.0,0.0,2.4632432944936458,0.8032049471658607,0.0,0.3000911193887837,0.0,0.3556162038740275,0.0,0.7020670786294729,1.6011508521308195,0.7533802109711566,0.1882951169029517,14.246455483665308,1437.7925875342523
24,24,33,46,67,brightness,17,0.0030190357051618,0.0027611340166651,0.0020942312165654,0.0055524182684696,0.0,0.0034429443744981,0.0105355789966334,0.0009915484886709,0.0287733130343947,0.0,0.0,0.0023335500694806,0.0042927379253167,0.0,0.0017760093498766,0.0,0.0005245868253672,0.0,0.0006246837989852,0.0124172867738962,0.0033728399747947,0.0002452656675374,0.0827571644863144,10.050407561784445,0.0896636967390133,0.1418673205093494,0.0325501999807551,0.2622916301552103,0.0,0.1129258262986903,0.4739149441323589,0.0900922823623852,5.69219727380476,0.0,0.0,0.3138228977421277,0.3575387001523104,0.0,0.030614488297595,0.0,0.0453420232638675,0.0,0.3142528113931351,0.4796610150582854,0.2240365361953884,0.0116112020913761,8.67238284817661,1412.0866070160132
25,25,24,22,19,jet,32,0.0480511848290954,0.0188561214416364,0.0282882913482189,0.0137005455391946,0.0,0.0205648760841871,0.003145421228719,0.0028837460206907,0.0102472912959747,0.0,0.0,0.0229094459533017,0.0128756153654947,0.0,0.0102119117471367,0.0,0.0185796535644021,0.0,0.0023261228997276,0.0121741588375715,0.0128235565223504,0.0005030739758702,0.2381410166535726,19.64471406261859,2.0466620259878656,0.5879286380298855,0.531025358266718,0.6856622357922177,0.0,0.4963388534234699,0.2752120290157808,0.3658639248732915,1.7826357369498964,0.0,0.0,2.04241612725674,0.7409687755053267,0.0,0.200833662574883,0.0,0.4908639481792515,0.0,1.3063802125956063,0.3494233541956595,0.5215787008997383,0.0379250588107276,12.46171864235706,1398.129798866411
26,26,21,18,17,straight,16,0.0334556251871125,0.0006423551348213,0.0037271936687461,0.0309310490164001,0.0,0.0518067400048754,0.0278223533339411,0.002363933177712,0.0097368510985084,0.0,0.0,0.0109321286563973,0.041799499904804,0.0,0.0009531131002083,0.0,0.0012787088573579,0.0,0.000675226963057,0.03314045696498,0.0021417862584094,0.0015924524779017,0.2529994738052332,22.739573850514365,1.3641369072107226,0.0501238499456791,0.0439394349171391,1.6761962855340518,0.0,1.7186710128811875,1.2699811704903172,0.1524810931361665,1.0743374507820949,0.0,0.0,0.4750199857798533,3.029926792138523,0.0,0.0304782427518141,0.0,0.0780122059378992,0.0,0.3784889365383485,2.45684352483596,0.1454663552229143,0.0321159471356422,13.976219195238311,1376.4773540174624
27,27,23,28,21,plume,22,0.0033886210040129,0.0194279537602021,0.001902877810361,0.0030828958795262,0.0,0.0326506387453664,0.004224139731148,0.0052456156153049,0.0087437063898333,0.0,0.0,0.0380385169119745,0.0030836046924189,0.0,0.0438213180737781,0.0,0.0278286119345497,0.0,0.0018300298439452,0.0206399544263973,0.0133922582771929,0.0026965995697788,0.2299973426657908,16.69261008843601,0.1947161130079772,0.7368069642160684,0.04824016242642,0.1830809324933029,0.0,1.7873299548077868,0.249577102946459,0.2314428118801176,1.2594865328605946,0.0,0.0,3.956830874885051,0.2698301896140708,0.0,0.8943960575722226,0.0,0.7146159800886309,0.0,0.839459304216848,1.7973561893992047,0.333729193525583,0.0395138940292889,13.536412257969628,1332.7222826218467
28,28,28,47,57,small,38,0.0034352201235187,0.0042402491662975,0.0032896779695217,0.0044861633020662,0.0,0.0184915925146317,0.018975494062153,0.0040729508650342,0.0099460073103508,0.0,0.0,0.003683792528674,0.0030172605601004,0.0,0.0035617561273866,0.0,0.0031401211197386,0.0,0.0114197027094024,0.0020018348492795,0.0032153625219421,0.0029921237577961,0.0999693094878943,10.040075722354818,0.2326194337078228,0.2696470690607681,0.0766267750147725,0.3139813532277848,0.0,0.7639761614378131,0.7625555709736049,0.3663565610399258,1.024851396980322,0.0,0.0,0.7387872911405786,0.5016046377480246,0.0,0.1180028838216864,0.0,0.2204743092571134,0.0,3.5199708275666506,0.3924504012073593,0.3638169122527246,0.0737140831719784,9.73943566760893,1280.9524225301764
29,29,30,45,54,amorphous,48,0.0044762669049117,0.0029207954825088,0.0035852316579014,0.00175021793324,0.0,0.0057416447584773,0.0090330824487638,0.0162758172693309,0.0082612356001438,0.0,0.0,0.0072281185468938,0.002684562381636,0.0,0.0011616815626806,0.0,0.0061598800129339,0.0,0.0092183083222563,0.0027985064352036,0.0043535538987985,0.0233081677369297,0.1089570709526109,10.31053633553722,0.3476181887132626,0.3507003033523195,0.1007662298457629,0.322457080759893,0.0,0.5608569226071755,0.2684897877713231,0.4194476755359562,1.028734996172436,0.0,0.0,0.6191473678321027,0.5138215036020473,0.0,0.1376120217052613,0.0,0.3932761771923496,0.0,2.7330226116711875,0.6129280718740261,0.6053329294330859,0.4330681546477643,9.447280022715953,1144.6272650788817
30,30,32,35,38,lobes,12,0.001391842673372,0.0015848688936452,0.0019405346716188,0.0366869364649708,0.0,0.0016331651848396,0.0010456193622897,0.0003523800946735,0.0178686506334696,0.0,0.0,0.0022285493315074,0.0269749425397056,0.0,0.0033422392091959,0.0,0.0322938817516071,0.0,0.0003907664628935,0.0082873061397156,0.0026565981874256,0.0003015909354425,0.1389798725363732,11.987795397762056,0.0563837492563872,0.0591393294658312,0.0297747056629679,1.9355758012307367,0.0,0.1035327268197799,0.072307663845326,0.0415962091216461,3.1258331912827217,0.0,0.0,0.2231359747885844,1.584584620614188,0.0,0.0475471984180149,0.0,1.1422222565698188,0.0,0.2326317646828324,0.362885740747741,0.1367596975528871,0.006818045858061,9.160728675917523,1102.151398042479
31,31,46,71,103,merger,5,3.4976405548497906e-05,0.0001047807820112,0.0004839313398017,0.0,0.0,0.0003458999413455,0.000277689216579,7.264334305150571e-06,0.0001893885172441,0.0,0.0,3.981672271351973e-05,0.0001225200133404,0.0,0.0004029540982722,0.0,2.399729933296572e-06,0.0,0.0363252167055832,0.0002199538443634,5.578415401643999e-06,2.8875207341371645e-05,0.0385912452737847,6.784437099347142,0.0050203119465075,0.0046216962856427,0.0064727710732315,0.0,0.0,0.0125802794886099,0.0179486186743349,0.0005960891281782,0.0389815894377474,0.0,0.0,0.0172845570562141,0.0079541580810297,0.0,0.0036437950379867,0.0,0.0028820858765415,0.0,5.688127243507571,0.0138744981629619,0.0014953007541879,0.001270246049391,5.822753240560138,1050.668353483775
32,32,26,24,24,edge,45,0.0118599107074524,0.0102704545418357,0.0176158976153874,0.0251641943825362,0.0,0.0139090834452915,0.0115212575956326,0.015674073970459,0.0101004244519892,0.0,0.0,0.0237899153929549,0.0219938153957708,0.0,0.0078207075101464,0.0,0.0176529487614619,0.0,0.0039140798223554,0.0163959389965842,0.0068875380498851,0.0043648508995155,0.2189350915392591,19.33422720182678,0.2342516737233536,0.2804884530672307,0.3239482639266778,1.194251939451891,0.0,0.2870327795130116,0.5270609894353071,0.4376603096940741,0.8592513106160333,0.0,0.0,2.095172037694424,1.4679062660934077,0.0,0.177815456592353,0.0,0.4251998393675727,0.0,0.4644002014447734,0.7293554292995056,0.6337777305365487,0.0709314159477262,10.20850409640389,1016.384586226462
