,subject_ids,amorphous,asymmetric brightness,asymmetric structure,bent,bridge,compact,core,diffuse,double,edge brightened,extended,faint,host,hourglass,jet,lobe,merger,peak,plume,small,tail,traces host galaxy,coordinates
232,71287230,0,0,1,5,0,0,0,1,2,0,5,0,3,0,3,0,0,1,0,0,0,1,J205303-552440
233,71287231,1,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,J205305-562508
234,71287232,0,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,2,J205343-540226
235,71287233,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,J205512-543125
236,71287234,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,1,J205516-582101
237,71287235,1,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,J205525-544540
238,71287236,0,0,0,2,0,0,1,1,0,0,2,0,3,0,0,1,0,1,0,0,1,1,J205535-550554
239,71287237,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,J205542-574903
240,71287238,0,0,1,0,0,2,0,0,2,0,3,1,3,0,0,0,0,0,0,0,0,0,J205558-562200
241,71287239,0,0,1,4,0,0,0,1,1,0,3,0,3,0,1,0,0,2,1,0,2,0,J205559-560946
242,71287240,0,0,0,0,0,1,0,0,1,0,1,3,3,0,0,0,0,1,0,3,1,0,J205603-533645
243,71287241,0,1,1,0,1,0,1,0,3,0,1,1,5,1,0,0,0,1,0,0,0,0,J205613-564241
244,71287242,0,2,0,3,1,1,1,0,2,0,1,1,3,0,0,0,0,1,0,0,1,0,J205621-570100
245,71287243,1,0,1,0,0,3,0,0,0,0,2,5,4,0,1,0,0,1,0,2,0,0,J205623-545214
246,71287244,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,J205644-563748
247,71287245,1,0,1,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,J205707-542228
248,71287246,0,0,0,2,1,0,2,0,3,0,4,1,2,1,1,0,0,2,0,0,1,0,J205720-574101
249,71287247,0,0,2,1,1,0,0,1,4,1,1,0,2,0,1,0,0,0,0,0,0,0,J205733-532309
250,71287248,0,0,0,0,0,2,0,0,3,0,1,0,2,1,0,0,1,2,0,1,0,0,J205737-570052
251,71287249,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,J205740-532424
252,71287250,0,0,1,0,0,1,0,2,0,1,5,1,1,0,2,0,0,1,0,0,1,1,J205742-570225
253,71287251,1,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,J205748-580331
